
NPAD: 0
3,14117
2,96461
2,95903
2,96109
3,17613
3,06328
3,47012
3,4875
3,48392
3,64001
3,8084
3,5303
3,82207
3,55899
3,53188
3,54218
3,61644
3,92264
3,54012

2,95622
2,96429
2,96201
3,11552
2,96074
2,95975
3,03177
3,27487
3,24553
5,34596
6,30264
9,53247
15,7182
24,976
48,0932
57,3363
92,1449
104,422
132,39

NPAD: 7
3,46504
3,46339
3,60899
3,14116
3,14279
3,24036
5,23849
5,24551
5,32246
5,56525
5,55783
5,58281
5,63199
6,07944
5,84743
6,26064
6,05356
7,79773
9,91599

3,4635
3,46321
3,13863
3,1384
3,14247
3,11893
2,88618
2,90019
2,98485
3,70638
4,47119
4,36731
5,38972
8,58028
11,2286
17,5458
28,2009
41,4187
88,1084

NPAD: 15
3,33878
2,87006
2,86964
2,87027
2,87051
2,95599
7,66203
5,54855
6,89647
5,71204
5,67758
5,75037
5,94736
6,85979
8,58315
10,491
11,4591
14,3522
20,5637

2,86986
2,86996
2,87042
2,87073
2,87154
2,87494
2,88054
2,89261
2,95079
3,2612
3,4386
4,36259
5,13066
6,96245
9,94022
12,2651
18,7759
36,2549
45,1918

NPAD: 31
3,01941
2,87039
2,87
2,89893
2,87003
2,88737
5,81966
5,18065
6,95088
15,4059
17,5024
11,8505
12,0542
19,8349
20,3466
29,2401
27,8832
40,5036
57,199

2,8699
2,86981
2,86961
2,87022
2,87082
2,87117
2,87852
2,92274
2,9147
3,15065
3,83615
4,40196
5,11699
6,42084
7,97237
12,4993
16,7376
21,342
51,7678
